catalog,vendor,product,api_family,api_group,id,status,method,path,summary,migration_phase,migration_use,official_doc_url
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklogs,issue-worklogs-get-rest-api-3-issue-issueidorkey-worklog-id,reviewed,GET,/rest/api/3/issue/{issueIdOrKey}/worklog/{id},Get worklog,extract,Issue worklogs extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklogs/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklogs,issue-worklogs-put-rest-api-3-issue-issueidorkey-worklog-id,reviewed,PUT,/rest/api/3/issue/{issueIdOrKey}/worklog/{id},Update worklog,load,Issue worklogs creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklogs/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklog properties,issue-worklog-properties-get-rest-api-3-issue-issueidorkey-worklog-worklogid-properties,reviewed,GET,/rest/api/3/issue/{issueIdOrKey}/worklog/{worklogId}/properties,Get worklog property keys,extract,Issue worklog properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklog-properties/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklog properties,issue-worklog-properties-delete-rest-api-3-issue-issueidorkey-worklog-worklogid-properties-propertykey,reviewed,DELETE,/rest/api/3/issue/{issueIdOrKey}/worklog/{worklogId}/properties/{propertyKey},Delete worklog property,reconcile,Issue worklog properties reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklog-properties/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklog properties,issue-worklog-properties-get-rest-api-3-issue-issueidorkey-worklog-worklogid-properties-propertykey,reviewed,GET,/rest/api/3/issue/{issueIdOrKey}/worklog/{worklogId}/properties/{propertyKey},Get worklog property,extract,Issue worklog properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklog-properties/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklog properties,issue-worklog-properties-put-rest-api-3-issue-issueidorkey-worklog-worklogid-properties-propertykey,reviewed,PUT,/rest/api/3/issue/{issueIdOrKey}/worklog/{worklogId}/properties/{propertyKey},Set worklog property,transform,Issue worklog properties reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklog-properties/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue links,issue-links-post-rest-api-3-issuelink,reviewed,POST,/rest/api/3/issueLink,Create issue link,load,Issue links creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-links/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue links,issue-links-delete-rest-api-3-issuelink-linkid,reviewed,DELETE,/rest/api/3/issueLink/{linkId},Delete issue link,reconcile,Issue links reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-links/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue links,issue-links-get-rest-api-3-issuelink-linkid,reviewed,GET,/rest/api/3/issueLink/{linkId},Get issue link,extract,Issue links extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-links/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue link types,issue-link-types-get-rest-api-3-issuelinktype,reviewed,GET,/rest/api/3/issueLinkType,Get issue link types,extract,Issue link types extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-link-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue link types,issue-link-types-post-rest-api-3-issuelinktype,reviewed,POST,/rest/api/3/issueLinkType,Create issue link type,load,Issue link types creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-link-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue link types,issue-link-types-delete-rest-api-3-issuelinktype-issuelinktypeid,reviewed,DELETE,/rest/api/3/issueLinkType/{issueLinkTypeId},Delete issue link type,reconcile,Issue link types reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-link-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue link types,issue-link-types-get-rest-api-3-issuelinktype-issuelinktypeid,reviewed,GET,/rest/api/3/issueLinkType/{issueLinkTypeId},Get issue link type,extract,Issue link types extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-link-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue link types,issue-link-types-put-rest-api-3-issuelinktype-issuelinktypeid,reviewed,PUT,/rest/api/3/issueLinkType/{issueLinkTypeId},Update issue link type,load,Issue link types creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-link-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issues,issues-put-rest-api-3-issues-archive-export,reviewed,PUT,/rest/api/3/issues/archive/export,Export archived issue(s),transform,Issues reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issues/
